LAPORAN STUDI PENYUSUNAN PDRB KOTA MANADO MENURUT PENGELUARAN 2011-2013;1
STATISTIK DAERAH KECAMATAN KAWANGKOAN UTARA 2012;1
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK KESEHATAN, PENDIDIKAN, DAN TRANSPORTASI DI 66 KOTA DI INDONESIA 2008;1
KEGIATAN PERCEPATAN PENYEDIAAN DATA STATISTIK DALAM RANGKA KEBIJAKAN DANA PERIMBANGAN 2011;Tidak ada
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA TENGGARA MENURUT PENGGUNAAN 2013;2
STATISTIK MODAL SOSIAL 2012;1
KECAMATAN TIKALA DALAM ANGKA 2012;1
STATISTIK INDONESIA 2014;Tidak ada
DIREKTORI PERUSAHAAN KONSTRUKSI PROVINSI SULAWESI UTARA 2013;Tidak ada
PERKEMBANGAN TINGKAT KEMISKINAN PROVINSI SULAWESI UTARA 2013;1
STATISTIK INDONESIA 2004;Tidak ada
SURVEI DEMOGRAFI DAN KESEHATAN INDONESIA 1994 DAFTAR RUMAH TANGGA;1
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) MENURUT LAPANGAN USAHA PROVINSI SULAWESI UTARA 2008-2012;Tidak ada
STATISTIK INDONESIA 2012;Tidak ada
SENSUS PERTANIAN 1993 LANJUTAN ANALISIS PERUSAHAAN HPH DAN HTI;1
NERACA ENERGI INDONESIA 2006-2010;1
SUSENAS 2011: PEDOMAN PENGAWASAN KOR DAN MODUL KONSUMSI;1
SUSENAS 2008: PEDOMAN KOR JULI;1
DIREKTORI PERUSAHAAN INDUSTRI PENGOLAHAN SKALA KECIL HASIL SENSUS EKONOMI 2006 BUKU 1;2
DIREKTORI PERUSAHAAN JASA PENDIDIKAN MENENGAH PULAU SULAWESI HASIL SENSUS EKONOMI 2006;1
DIREKTORI PERUSAHAAN REALESTAT, HASIL SENSUS EKONOMI 2006;1
DIREKTORI PERUSAHAAN KONSTRUKSI HASIL SENSUS EKONOMI 2006 BUKU 1;1
DIREKTORI PERUSAHAAN INDUSTRI PENGOLAHAN SKALA MENENGAH DAN BESAR HASIL SENSUS EKONOMI 2006 BUKU 1;1
DIREKTORI PERUSAHAAN INDUSTRI PENGOLAHAN SKALA KECIL HASIL SENSUS EKONOMI 2006 BUKU 1;Tidak ada
DIREKTORI INDUSTRI PENGOLAHAN INDONESIA 2005;1
KEADAAN KETENAGAKERJAAN PROVINSI SULAWESI UTARA 2012;1
KEADAAN KETENAGAKERJAAN PROVINSI SULAWESI UTARA 2010;1
PEREMPUAN DAN LAKI-LAKI DI INDONESIA 2012;1
KECAMATAN AIRMADIDI DALAM ANGKA 2012;2
PETA WILAYAH SULAWESI UTARA 2012;1
KATALOG PUBLIKASI DAN DATABASE SP2010;1
STATISTIK STRUKTUR UPAH 2007-2008;2
INDIKATOR KESEJAHTERAAN RAKYAT 2011;1
PROFIL STATISTIK KESEJAHTERAAN RAKYAT 1993-2007;3
PROFIL STATISTIK KESEJAHTERAAN RAKYAT 1993-2007;Tidak ada
STATISTIK PERTAMBANGAN BAHAN GALIAN INDONESIA 2006-2008;1
STATISTIK INDUSTRI BESAR DAN SEDANG BAGIAN I INDONESIA 1997;1
STATISTIK KESEJAHTERAAN RAKYAT 2004;Tidak ada
DAFTAR NAMA, KODE, DAN PETA WILAYAH ADMINISTRASI INDONESIA 1993;1
DIREKTORI INDUSTRI PENGOLAHAN INDONESIA 1997;1
KARAKTERISTIK PENDUDUK KALIMANTAN SELATAN HASIL SP 2000;1
INDEKS KEMAHALAN KONSTRUKSI PROVINSI DAN KABUPATEN/KOTA 2015;Tidak ada
STATISTIK INDUSTRI BESAR SEDANG PROVINSI SULAWESI UTARA 2010;Tidak ada
INDIKATOR KONSTRUKSI TRIWULAN I 2009;1
PROFIL INDUSTRI MIKRO DAN KECIL 2010;2
INDIKATOR KONSTRUKSI TRIWULAN IV 2008;1
STATISTIK INDUSTRI BESAR DAN SEDANG PROVINSI SULAWESI UTARA 2011;2
PROFIL INDUSTRI MIKRO DAN KECIL 2010;Tidak ada
INDIKATOR KONSTRUKSI TRIWULAN IV 2009;1
INDIKATOR KONSTRUKSI TRIWULAN I 2007;Tidak ada
SURVEI USAHA TERINTEGRASI 1999- STATISTIK INDUSTRI KECIL DAN KERAJINAN RUMAH TANGGA INDONESIA TAHUN 1999;2
KECAMATAN KAUDITAN DALAM ANGKA 2012;1
DIREKTORI PERUSAHAAN JASA PARIWISATA, HASIL SENSUS EKONOMI 2006;1
DIREKTORI PERUSAHAAN LISTRIK, GAS, DAN AIR, HASIL SENSUS EKONOMI 2006;1
PERUSAHAAN DI INDONESIA HASIL SENSUS EKONOMI 2006;1
STATISTIK INDONESIA 2010;2
LAPORAN SOSIAL INDONESIA 2008 - PERKEMBANGAN KONDISI KEPENDUDUKAN DAN PROGARAM KELUARGA BERENCANA;1
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) MENURUT LAPANGAN USAHA KABUPATEN BOLAANG MONGONDOW 2012;1
STATISTIK INDONESIA 1997;Tidak ada
PENGELUARAN UNTUK KONSUMSI PROVINSI SULAWESI UTARA 2011;1
DIREKTORI INDUSTRI PENGOLAHAN INDONESIA 2006;1
KECAMATAN AIRMADIDI DALAM ANGKA 2012;Tidak ada
STATISTIK STRUKTUR UPAH 2007-2008;Tidak ada
STATISTIK INDUSTRI KERAJINAN RUMAHTANGGA 1996 (SE);1
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2015;Tidak ada
SURVEI USAHA TERINTEGRASI 1999- STATISTIK INDUSTRI KECIL DAN KERAJINAN RUMAH TANGGA INDONESIA TAHUN 1999;Tidak ada
PERUSAHAAN DI INDONESIA HASIL SENSUS EKONOMI 2006;Tidak ada
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2015;Tidak ada
INDEKS HARGA KONSUMEN (IHK) 82 KOTA DI INDONESIA (2012=100) 2015;Tidak ada
INDIKATOR EKONOMI DESEMBER 2015;1
HARGA KONSUMEN BEBERAPA BARANG KELOMPOK MAKANAN 82 KOTA DI INDONESIA 2015;1
KOTA BITUNG DALAM ANGKA 2001;1
PENGEMBANGAN MODEL SOSIAL EKONOMI : PANDUAN PENGOLAHAN DATA DENGAN METODE GWR;1
POTRET USAHA PERTANIAN KOTA BANDAR LAMPUNG MENURUT SUBSEKTOR (HASIL PENCACAHAN LENGKAP SENSUS PERTANIAN 2013 DAN SURVEI PENDAPATAN RUMAH TANGGA USAHA PERTANIAN 2013);1
INDIKATOR EKONOMI DESEMBER 2013;1
INDIKATOR EKONOMI AGUSTUS 2013;1
STATISTIK INDUSTRI KECIL 1996;1
INDIKATOR EKONOMI JULI 2013;1
INDIKATOR EKONOMI NOVEMBER 2013;1
INDIKATOR EKONOMI OKTOBER 2013;1
INDIKATOR EKONOMI JANUARI 2013;1
STATISTIK PERUSAHAAN PETERNAKAN, TERNAK BESAR DAN TERNAK KECIL 2012;1
STATISTIK LISTRIK PLN 2004-2008;1
INDIKATOR KETENAGAKERJAAN FEBRUARI 2004;1
INDIKATOR TINGKAT HIDUP PEKERJA 2002-2004;1
STATISTIK INDUSTRI BESAR DAN SEDANG INDONESIA 2005 BAGIAN III;1
STATISTIK LISTRIK 2006-2010;1
PEDOMAN PENYUSUNAN PUBLIKASI DAERAH DALAM ANGKA;1
SENSUS EKONOMI 1986 ANALISA STATISTIK PERTAMBANGAN MINYAK DAN GAS BUMI;1
LUAS LAHAN MENURUT PENGGUNAANNYA DAN BANYAKNYA ALAT-ALAT PERTANIAN DI SULAWESI TENGGARA 2014;1
STATISTIK INDUSTRI BESAR DAN SEDANG PROVINSI SULAWESI UTARA 2013;2
PENDATAAN SOSIAL EKONOMI PENDUDUK 2005;Tidak ada
STATISTIK KELAPA SAWIT INDONESIA 2012;Tidak ada
STATISTIK KELAPA SAWIT INDONESIA 2012;Tidak ada
TINJAUANPEREKONOMIAN BALI 2012;1
INDEKS PEMBANGUNAN MANUSIA 2007-2008;1
INDEKS PEMBANGUNAN MANUSIA (IPM) 2010-2011;1
SURVEI DEMOGRAFI DAN KESEHATAN INDONESIA 2002-2003;1
INDIKATOR MAKRO EKONOMI DAN SOSIAL PROVINSI PAPUA BARAT TAHUN 2012;1
PROFIL STATISTIK KESEJAHTERAAN RAKYAT 1993-2007;Tidak ada
INDIKATOR KESEJAHTERAAN MASYARAKAT PROVINSI ACEH 2014;1
STATISTIK TANAMAN HIAS INDONESIA 2013;1
STATISTIK TANAMAN BIOFARMAKA INDONESIA 2012;1
STATISTIK TANAMAN SAYURAN DAN BUAH-BUAHAN SEMUSIM INDONESIA 2013;1
INFRASTRUKTUR DI TINGKAT KABUPATEN/KOTA DAN KECAMATAN BERDASARKAN HASIL PENDATAAN PODES 2008;1
INDEKS TENDENSI KONSUMEN PROVINSI BALI TAHUN 2013;1
STATISTIK POTENSI DESA PROVINSI SULAWESI UTARA 2003;Tidak ada
INDIKATOR PASAR TENAGA KERJA INDONESIA MEI 2014;1
STATISTIK KRIMINAL 2011;1
STATISTIK DAERAH PROVINSI PAPUA 2015;1
STATISTIK DAERAH KECAMATAN SONDER 2012;1
HASIL PENDAFTARAN PERUSAHAAN/USAHA, HASIL SENSUS EKONOMI 2006 INDONESIA;Tidak ada
INDIKATOR EKONOMI JUNI 2013;1
INDIKATOR KETENAGAKERJAAN NOVEMBER 2004;1
STATISTIK INDUSTRI BESAR DAN SEDANG PROVINSI SULAWESI UTARA 2013;Tidak ada
STATISTIK PERTAMBANGAN NONMINYAK DAN GAS BUMI 2006-2010;1
INDEKS PEMBANGUNAN MANUSIA 2005-2006;Tidak ada
STATISTIK POTENSI DESA PROVINSI SULAWESI UTARA 2003;Tidak ada
INDIKATOR PASAR TENAGA KERJA INDONESIA AGUSTUS 2011;1
INDIKATOR PERTANIAN PROVINSI NUSA TENGGARA BARAT 2014;1
STATISTIK SOLUS PER AQUA (SPA) 2014;3
PEKERJA ANAK DI INDONESIA 2009;1
PERUSAHAAN DI INDONESIA HASIL SENSUS EKONOMI 2006;Tidak ada
STATISTIK INDUSTRI BESAR DAN SEDANG PROVINSI SULAWESI UTARA 2011;Tidak ada
STATISTIK STRUKTUR UPAH 2010-2011;5
STATISTIK TANAMAN BUAH-BUAHAN DAN SAYURAN TAHUNAN INDONESIA 2013;1
STATISTIK POTENSI DESA PROVINSI SULAWESI UTARA 2003;Tidak ada
NERACA ENERGI INDONESIA 2010-2014;1
STATISTIK KONSTRUKSI SULAWESI TENGGARA 2014;1
STATISTIK PERTAMBANGAN BAHAN GALIAN INDONESIA 2009-2011;2
STATISTIK GAS 2007-2011;2
INDIKATOR KONSTRUKSI 2004;Tidak ada
INDEKS HARGA KONSUMEN KOTA MANADO 2010;Tidak ada
STATISTIK DAERAH KECAMATAN KAWANGKOAN BARAT 2014;1
STATISTIK KUNJUNGAN TAMU ASING PROVINSI SULAWESI UTARA 2010;1
STATISTIK KONSTRUKSI 2008;Tidak ada
STATISTIK PERTAMBANGAN MINYAK DAN GAS BUMI 2005-2009;2
STATISTIK PERTAMBANGAN MINYAK DAN GAS BUMI 2005-2009;Tidak ada
BULETIN STATISTIK PERDAGANGAN LUAR NEGERI EKSPOR (MENURUT KELOMPOK KOMODITI DAN NEGARA) SEPTEMBER 2016;1
STATISTIK PERUMAHAN PROVINSI SULAWESI UTARA (HASIL SENSUS PENDUDUK 2010);1
SENSUS EKONOMI 2006: PEDOMAN PENCACAH DAN PENGAWAS/PEMERIKSA SE06-UMB INDUSTRI BULANAN, SENSUS SAMPEL BUKU 7;1
