STATISTIK HARGA PRODUSEN GABAH DI INDONESIA 2015;Tidak ada;1 eksemplar2
STATISTIK HARGA PRODUSEN GABAH DI INDONESIA 2016;Tidak ada;1 eksemplar2
STATISTIK LEMBAGA KEUANGAN 2015;Tidak ada;1 eksemplar2
HARGA KONSUMEN NASIONAL BEBERAPA BARANG DAN JASA 2010;Tidak ada;1 eksemplar2
INDEKS KEMAHALAN KONSTRUKSI PROVINSI DAN KABUPATEN/KOTA 2012;Tidak ada;1 eksemplar2
PERKEMBANGAN MINGGUAN HARGA ECERAN BEBERAPA JENIS BAHAN POKOK DI IBUKOTA PROVINSI SELURUH INDONESIA JULI-DESEMBER 2011;Tidak ada;1 eksemplar2
HARGA KONSUMEN NASIONAL BEBERAPA BARANG DAN JASA 2016;Tidak ada;1 eksemplar2
STATISTIK KOPERASI SIMPAN PINJAM 2016;Tidak ada;1 eksemplar3
INDEKS HARGA PERDAGANGAN BESAR (IHPB) INDONESIA (2005=100) 2010;Tidak ada;0 eksemplar3
STATISTIK KEUANGAN PEMERINTAHAN PROVINSI 2009-2012;Tidak ada;1 eksemplar3
NILAI TUKAR VALUTA ASING DI INDONESIA 2011;Tidak ada;0 eksemplar3
DIAGRAM TIMBANG NILAI TUKAR PETANI (NTP) - SUBSEKTOR PERIKANAN 2012;Tidak ada;0 eksemplar3
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2011;Tidak ada;0 eksemplar3
STATISTIK LEMBAGA KEUANGAN 2011;Tidak ada;0 eksemplar3
STATISTIK LEMBAGA KEUANGAN 2012;Tidak ada;0 eksemplar3
EVALUASI STATISTIK HARGA PRODUSEN GABAH 2015;Tidak ada;0 eksemplar3
HARGA KONSUMEN NASIONAL BEBERAPA BARANG DAN JASA 2013;Tidak ada;0 eksemplar3
HARGA KONSUMEN BEBERAPA BARANG KELOMPOK MAKANAN 82 KOTA DI INDONESIA 2016;Tidak ada;0 eksemplar3
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK PERUMAHAN DI 66 KOTA DI INDONESIA 2010;Tidak ada;0 eksemplar3
STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2011-2012;Tidak ada;0 eksemplar3
STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2010-2011;Tidak ada;0 eksemplar3
STATISTIK KEUANGAN PEMERINTAHAN DESA 2011;Tidak ada;0 eksemplar3
NILAI TUKAR VALUTA ASING DI INDONESIA 2016;Tidak ada;1 eksemplar2
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2013;Tidak ada;0 eksemplar2
HARGA KONSUMEN NASIONAL BEBERAPA BARANG DAN JASA 2012;Tidak ada;0 eksemplar2
